URL,Unique ID,Primary material,Manufacture method,Image URL,Saved Image
https://finds.org.uk/database/artefacts/record/id/883927,BH-F7004D,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHF7004D.jpg,Fotos_monedas\BH-F7004D.jpg
https://finds.org.uk/database/artefacts/record/id/883922,BH-F6E5D8,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHF6E5D8.jpg,Fotos_monedas\BH-F6E5D8.jpg
https://finds.org.uk/database/artefacts/record/id/883918,BH-F6D322,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHF6D322.jpg,Fotos_monedas\BH-F6D322.jpg
https://finds.org.uk/database/artefacts/record/id/883913,BH-F6B1E9,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHF6B1E9.jpg,Fotos_monedas\BH-F6B1E9.jpg
https://finds.org.uk/database/artefacts/record/id/883908,BH-F69F4C,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHF69F4C.jpg,Fotos_monedas\BH-F69F4C.jpg
https://finds.org.uk/database/artefacts/record/id/883906,BH-F690C8,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHF690C8.jpg,Fotos_monedas\BH-F690C8.jpg
https://finds.org.uk/database/artefacts/record/id/883897,BH-F67CA2,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BHF67CA2.jpg,Fotos_monedas\BH-F67CA2.jpg
https://finds.org.uk/database/artefacts/record/id/882479,BH-620510,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH620510.jpg,Fotos_monedas\BH-620510.jpg
https://finds.org.uk/database/artefacts/record/id/882474,BH-61E8B8,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH61E8B8.jpg,Fotos_monedas\BH-61E8B8.jpg
https://finds.org.uk/database/artefacts/record/id/882322,BH-4E943A,Silver,Struck or hammered,https://finds.org.uk/images/pwalton/medium/BH4E943A.jpg,Fotos_monedas\BH-4E943A.jpg
https://finds.org.uk/database/artefacts/record/id/876807,PUBLIC-6FC643,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC6FC643RomanbronzeRadiateAllectus293296AD.jpg,Fotos_monedas\PUBLIC-6FC643.jpg
